"","itens"
"1","SACO PLASTICO P/LIXO PACOTE C/20 UNID.,CAP.15 LITROS*"
"2","SACO PLASTICO P/LIXO PACOTE C/10 UNID., CAP.30 LITROS*"
"3","SACO PLASTICO P/LIXO PACOTE C/10 UNID., CAP.50 LITROS*"
"4","SACO PLASTICO P/LIXO PACOTE C/05 UNID.,CAP.100 LITROS*"
"5","BOLSA PARA MALOTE EM LONA NA COR PRETA COM INSCRICAO DA POLICIA CIVIL."
"6","COLETOR EM PAPELAO PARA RESIDUOS HOSPITALARES P/LIXO /QUIMIO/EPERFURO/LARAN/CAP.13"
"7","COLETOR EM PAPELAO PARA RESIDUOS HOSPITALARES, COR AMARELO, 20 L,PERFUROCORTANTE"
"8","COLETOR EM PAPELAO PARA RESIDUOS HOSPITALARES, COR AMARELO, 07 L,PERFUROCORTANTE"
"9","FILME EM PVC (PLASTICO) STRETCH PARA PALETIZACAO"
"10","FILME EM PVC ROLO"
"11","FILME EM PVC TRANSPARENTE EM BOBINA"
"12","MATERIAIS E UTENSILIOS DE ACONDICIONADORES E EMBALAGENS BALDE INOX"
"13","PAPEL KRAFT PARDO"
"14","PLASTICO TRANSPARENTE ATOXICO BOBINA PLASTICA PICOTADA"
"15","PLASTICO TRANSPARENTE ATOXICO BOLSA PARA COLETA DE AGUA COM CAPACIDADE DE100ML"
"16","PLASTICO TRANSPARENTE ATOXICO BOLSA PLASTICA EM POLIETILENO"
"17","PLASTICO TRANSPARENTE ATOXICO FOSCO PARA PLASTIFICACAO MEDINDO 70 CM DELARGURA"
"18","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR BRANCO LEITOSO, 15 LITROS"
"19","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR BRANCO LEITOSO,100 LITROS"
"20","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR BRANCO-LEITOSO, 50 LITROS"
"21","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR BRANCO-LEITOSO,30 LITROS"
"22","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR PRETA, 100 LITROS,PACOTE C/5"
"23","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR PRETA,30 LITROS,PACOTE C/10"
"24","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR PRETA,50 LITROS,PACOTE C/10"
"25","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR VERDE, 100 LITROS"
"26","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR VERDE, 50 LITROS"
"27","SACO DE POLIETILENO P/ ACONDICIONAMENTO DE LIXO COR VERMELHO, 100 LITROS"
"28","SACO DE LIXO PARA PECAS ANATOMICAS, COR VERMELHA 30L"
"29","SACO DE LIXO PARA PECAS ANATOMICAS, COR VERMELHA 50L"
"30","SACO PLASTICO ATOXICO CAPACIDADE 5 KG, BOBINA COM 500 UNIDADES, TRANSPARENTE"
"31","SACO PLASTICO ATOXICO EM KG"
"32","SACO PLASTICO ATOXICO MEDINDO 8 X 10 X 10"
"33","SACO PLASTICO ATOXICO TRANSP.,MED.30X40CM,CAPAC.3KG, BOBINA COM 500 UNIDADES"
"34","SACO PLASTICO ATOXICO TRANSPARENTE"
"35","SACO PLASTICO ATOXICO TRANSPARENTE MED.30X40 CM,ESP.DE7-10MICRAS EMB.01 KG"
"36","SACO PLASTICO ATOXICO TRANSPARENTE, CAPAC.P/2KG, EM BOBINA COM 500 UNIDADES"
"37","SACO PLASTICO ATOXICO TRANSPARENTE, MEDINDO 30X40CM,C/0,08 MM DE ESPESSURA (DET)"
"38","SACO PLASTICO ATOXICO TRANSPARENTE, P/ EMBALAR TALHERES, MEDINDO 8X25CM *"
"39","SACO PLASTICO ATOXICO TRANSPARENTE, P/ USO EM ALIMENTOS, MEDINDO 20X30CM *"
"40","SACO PLASTICO ATOXICO TRANSPARENTE, PARA USO EM ALIMENTOS,MED.15 X 25CM *"
"41","SACO PLASTICO ATOXICO TRANSPARENTE,P/ USO EM ALIMENTOS, MEDINDO 40 X 60 CM *"
"42","SACO PLASTICO ATOXICO TRANSPARENTE,P/USO EM ALIMENTOS,60X80CM ESP.10A 15 MICRAS"
"43","SACO PLASTICO EM BOBINA TRANSPARENTE,C/ESCANINHOS P/ACONDICIONAMENTO DE"
"44",""
"45","MEDICAMENTOS"
"46","SACO PLASTICO P/LIXO HOSPITALAR,COM LACRE,CAPACIDADE DE 50 LITROS,PACOTE C/100 UN"
"47","URNA PARA OSSADAS"
"48","AERONAVES E EQUIPAMENTOS AEREOS"
"49","VEICULO AEREO NAO TRIPULAVEL DRONE"
"50","AGROPECUÁRIA, APICULTURA E PESCA"
"51","ADUBO FORMULA NPK 04.14.08"
"52","ADUBO FORMULA NPK 10.10.10"
"53","ANCINHO PARA JARDINAGEM"
"54","ARADO SUBSOLADOR"
"55","CARRETA AGRICOLA CAPACIDADE DE 06 TONELADAS"
"56","COLHEDORA DE FORRAGEM COLHEDORA DE FORRAGEM"
"57","COLHEITADEIRA COLHEDORA DE MILHO"
"58","DISTRIBUIDOR DE ADUBO E CALCARIO"
"59","DISTRIBUIDOR DE ADUBO ORGANICO LIQUIDO, CAPACIDADE PARA 4.000 LITROS"
"60","DISTRIBUIDORA DE FERTILIZANTES E SEMENTES"
"61","EQUIPAMENTOS E IMPLEMENTOS PARA AGROPECUARIA TRASEIRA"
"62","FERTILIZANTES E PRODUTOS DE COMBATE A PRAGAS FUNGICIDA PARA PLANTAS"
