cdo,sigla,nome
2300,SANTUR,Agência de Desenvolvimento do Turismo
302,BADESC,Agência de Fomento do Estado de Santa Catarina
2729,ARESC,Agência de Regulação de Serviços Públicos de Santa Catarina
4101,CC,Casa Civil
301,CIASC,Centro de Informática e Automação de Santa Catarina
2622,COHAB/SC,Companhia de Habitação do Estado de Santa Catarina S/A
4422,CIDASC,Companhia Integrada de Desenv. Agrícola de Santa Catarina
4107,CGE,Controladoria Geral do Estado
1685,CBM,Corpo de Bombeiros Militar - Fundo de Melhoria
1501,DPE,Defensoria Pública do Estado de Santa Catarina
5501,DC,Defesa Civil
5325,DEINFRA,Departamento Estadual de Infraestrutura
4112,DETRAN,Departamento Estadual de Trânsito
9,EPAGRI,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina
2322,FCC,Fundação Catarinense de Cultura
4521,FCEE,Fundação Catarinense de Educação Especial
2006,FESPORTE,Fundação Catarinense de Esporte
4524,FAPESC,Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina
200,SCPREV,Fundação de Previdência Complementar do Estado de Santa Catarina
5230,ENA,Fundação Escola de Governo
4522,UDESC,Fundação Universidade do Estado de Santa Catarina
4201,GVG,Gabinete do Vice-Governador
1504,IOESC,Imprensa Oficial do Estado de Santa Catarina
4722,IPREV,Instituto de Previdência do Estado de Santa Catarina
2721,IMA,Instituto do Meio Ambiente
5222,JUCESC,Junta Comercial do Estado de Santa Catarina
4301,MPC,Ministério Público de Contas do Estado de Santa Catarina
4001,MPSC,Ministério Público do Estado de Santa Catarina - Procuradoria Geral de Justiça
1699,PCSC,Polícia Científica de Santa Catarina
1605,PC,Polícia Civil
1606,PMSC,Polícia Militar do Estado de Santa Catarina
201,PGE,Procuradoria Geral do Estado de Santa Catarina
111,SCPI,Santa Catarina Participação e Investimentos S.A.
2323,SCTUR,Santa Catarina Turismo S.A.
1823,SCPar,SC Participações e Parcerias S.A.
4126,SCPAR-IMB,SCPAR Porto de Imbituba S/A
4130,PSFS,PSFS Porto de São Francisco do Sul S/A
1700,SEA,Secretaria de Estado da Administração
801,SAP,Secretaria de Estado da Administração Prisional e Socioeducativa
4401,SAR,Secretaria de Estado da Agricultura e da Pesca
4501,SED,Secretaria de Estado da Educação
5201,SEF,Secretaria de Estado da Fazenda
5301,SIE,Secretaria de Estado da Infraestrutura e Mobilidade
4891,SES,Secretaria de Estado da Saúde
1601,SSP,Secretaria de Estado da Segurança Pública
2700,SDE,Secretaria de Estado do Desenvolvimento Econômico Sustentável
2601,SDS,Secretaria de Estado do Desenvolvimento Social
1801,SPG,Secretaria de Estado do Planejamento
4103,SAI,Secretaria Executiva de Articulação Nacional
5801,SEC,Secretaria Executiva de Comunicação
1802,SUDERF,Superintendência de Desenvolvimento da Região Metropolitana da Grande Florianópolis
4002,TCE,Tribunal de Contas do Estado de Santa Catarina
9101,ADR-ARA,Agência de Desenvolvimento Regional - Araranguá
8401,ADR-BLU,Agência de Desenvolvimento Regional - Blumenau
7701,ADR-CNO,Agência de Desenvolvimento Regional - Campos Novos
7301,ADR-CHA,Agência de Desenvolvimento Regional - Chapecó
7501,ADR-CON,Agência de Desenvolvimento Regional - Concórdia
9001,ADR-CRI,Agência de Desenvolvimento Regional - Criciúma
8001,ADR-CUR,Agência de Desenvolvimento Regional - Curitibanos
8601,ADR-ITA,Agência de Desenvolvimento Regional - Itajaí
9301,ADR-JGS,Agência de Desenvolvimento Regional - Jaraguá do Sul
7601,ADR-JOA,Agência de Desenvolvimento Regional - Joaçaba
9201,ADR-JOI,Agência de Desenvolvimento Regional - Joinville
9601,ADR-LAG,Agência de Desenvolvimento Regional - Lages
9401,ADR-MAF,Agência de Desenvolvimento Regional - Mafra
7101,ADR-MAR,Agência de Desenvolvimento Regional - Maravilha
8101,ADR-RDS,Agência de Desenvolvimento Regional - Rio do Sul
7201,ADR-SLO,Agência de Desenvolvimento Regional - São Lourenço do Oeste
7001,ADR-SMO,Agência de Desenvolvimento Regional - São Miguel do Oeste
8901,ADR-TUB,Agência de Desenvolvimento Regional - Tubarão
7801,ADR-VID,Agência de Desenvolvimento Regional - Videira
7401,ADR-XAN,Agência de Desenvolvimento Regional - Xanxerê
5323,DETER,Departamento de Transportes e Terminais
